content_id,content,subject,sentiment_word,sentiment_value
72,个人感受，解码和前级分别使用PS1200，1200用在解码的时候细节拉满，但各个声部互无关联，你干你的我干我的，所以我给它放到了前级，不知道是前级对声音影响比较小，还是刚好比较搭，反正声音听起来润耳了很多。目前解码用的是以前买机器时店家送的所谓国产发烧线。,配置,好,1
73,看个人喜好，低端耳机不建议买太多，早晚要走T1—800S老路的。,价格,好,1
74,关键国产器材的参数打脸又不是第一次了。看参数你怎么就知道厂家参数一定是真的呢？,其他,,0
75,参数和听感有很大关系，是否好听不是绝对的关系，因为很多高价名机参数都一般，其实你去尾就行了，就是参数太低的就不要考虑了，参数前排的也不一定好听，但是也有参数前排的好听，我用的歌诗德的声音就不错，当然这个也是我个人喜好,其他,好,1
76,现在看起来其实挺简单的，买了器材是为了听的，好不好听自己能感觉出来，但是能不能听出参数好坏就另算了。最近有一些鼓吹高参数却绝口不提听起来如何的，搞乱了一些思路，我其实也挺怀疑这种参数党是图个什么，器材自己到底听不听，或者离开了测试仪器他们还有没分辨能力。,音质,好,1
77,有的人家里零火是反接的，最好电笔插插,配置,好,1
78,买个电源极性检测器，十几块钱，就可以检查火零，还有接地的问题,配置,,0
79,之前有段时间很着迷电源，才补习了一下电源相位知识，把插头都仔细检查安置好了。,配置,好,1
80,关键里面变压器绕线不一定就相位就对。而且有些机器对相位也不敏感。,配置,,0
81,插尾都是一样的,其他,,0
82,我相位没反，那是国标，注意审题哦,其他,,0
83,电源相位这事我百思不解~50hz市电，早来晚来个百分之一秒就反相了，有什么意义吗？,配置,,0
84,震惊！发烧友戴耳机6小时后晕倒,其他,,0
85,治好了我多年的颈椎病,其他,好,1
86,戴上口罩，信心满满，配上墨镜，无法无天。,其他,,0
87,都买，然后把使用报告发上来。,其他,,0
88,金的声音厚实  虽然最便宜,价格,,0
89,铑的,其他,,0
90,为什么不用原装的？,其他,,0
91,推好了的话，T1的低音下潜极深，是类似进口12寸以上喇叭箱的那种低音，暗流涌动，极其凶狠，非常过瘾，另外，T1的音场又宽又深，人声比HD800还远。如果觉得人声近，声场不够宽深，应该是推力不够，还没有把声场推开来。,音质,好,1
92,请教T1二代换T1一代的耳罩如何？听说换一代耳罩听感会有提升。,其他,,0
93,早说了1990是初烧直推建立听音观的神器。,其他,,0
94,好强烈的二狗气质，中国人的牌子中国人的产品，有英文名没中文名？是巴不得消费者把它当白皮私生子吗？百多年前的西崽气质，下贱港灿绿蛙引以为荣，连大陆也死而不绝，真久居鲍鱼之肆不觉其臭？,其他,好,1
95,歆闇 森闇 松闇,其他,,0
96,以外国沉默天使对应中国的神话十分有限，有女娲之类的制造乐器。【默乐】怎么样？,其他,,0
97,寂音静乐 寂音 寂音静,其他,,0
98,睡懒觉,其他,,0
99,夜莺、静籁,其他,,0
100,音圣  圣音,其他,,0
101,去垄断的某宝一搜就有了,其他,,0
102,插这个上面，，夏天用空调咋整，，，,其他,,0
103,我感觉白绿之间区别不大，橙红之间区别不大，但这两组之间的区别还是挺明显的,其他,,0
104,白灯是监听模式，解析最好，但不一定耐听，绿灯是hifi模式，有一定乐感，黄灯是暖糊模式，人声有颗粒感，红灯是甜润模式，人声有润喉糖味道，四种模式高频依次削减的越多，不过qutest本来高频就偏多，最后还是觉得红灯模式最耐听,其他,好,1
105,本身区别也不大，都是高频满天飞的，当你长时间熟悉一种模式再更换就听得出来了，才拿到手换来换去都没啥感觉的，特别是你闭着眼睛盲按猜灯，很考验听力。,舒适,,0
106,后面两个明显糊,其他,,0
107,我也听不出区别。反正统统用绿灯。,其他,,0
108,见到实物你就不纠结了,其他,,0
109,所以选哪个,其他,,0
110,买一个隔离牛不香么？出了难看点,其他,牛,1
111,随便找一个知名品牌的都行。CD机不适合再投入了,其他,,0
112,PHILIPs CD850 或 CD850MKII,其他,,0
113,先研究一番转盘和解码器的基础知识再慢慢淘货捡漏。,其他,,0
114,傲立的6000CDT或8300CDQ怎么样？,其他,,0
115,意大利雅乐，二手。yba副牌二手，还有什么意大利声韵二手，5k以内随便买，没压力,其他,,0
116,参数就是用来对线的，对不起，我选择听歌,配置,,0
117,我正在反思，我作为一个参数党，看完参数最后还是得用耳朵去听，我要练成只看不听大法。靠看参数，然后耳朵回响起音乐,其他,,0
118,听感还能有啥“理论”？,其他,,0
119,可以，用你的原道吧这些耳机串起来，提走。,其他,,0
120,没有拜亚，差评,其他,差,-1
121,只有一只值得保留,其他,,0
122,800出列，其他“谢谢老板，祝您玩得愉快”,其他,,0
123,原道的性价比秒杀这里面的一切,价格,,0
124,胆机正常吧，600欧隔绝大部分底噪，换成150欧更明显,其他,,0
125,Dk的确是素质与韵味俱佳。人穷志短的我选择了可耻,其他,,0
126,顶多10%,其他,,0
127,如果按照THD的算法，1%人耳基本不可闻，10%明显可闻的话，大概是3-5%介于人耳可闻和不可闻之间,其他,,0
128,看来没有必要上界面了，提升太小意义就不大了。,其他,,0
129,"上界面当然更好,值不值看个人",其他,好,1
130,看你解码自带界面水平，不能一概而论,其他,,0
131,都有GDX2了，用PC直连的话，音源的质量堪忧，建议加USB隔离，比界面的效果明显多了，毕竟GDX2自带的界面也不差，但PC作为转盘先天的问题就很大，上USB隔离能大幅度提升音源的纯净度和降低抖动,其他,差,-1
132,如果加个界面的话，船2可以考虑吗？,其他,,0
133,蛋疼,舒适,疼,-1
134,还是期待拆解，上次看B站拆解9500，真的是压缩成本到了极点  ,价格,,0
135,9500是相当成功的。,其他,,0
136,玩了四年z1r，不得不承认低频调音确实dj。虽然我走上了魔改的道路,其他,,0
137,声音闷吗,其他,,0
138,《喜欢你》 Beyond,其他,,0
139,张学友《夕阳醉了》,其他,,0
140,李克勤《仍是老地方》,其他,,0
141,《男儿当自强》林子祥,其他,强,1
142,歌颂 陈奕迅,其他,,0
143,万水千山总是情  汪明荃 ,其他,,0
144,这是我第一只大耳机不过不知道真货什么声，我是20买的仿货。仿货低频混沌但有魔幻风格，有包围感。虽然仿货喇叭差劲，但是腔体一样喇叭口径一样，比起真货多少能有点类似的味吧。,其他,差,-1
145,你图里这个应该也是仿的，爱华的东西不至于字都对不整齐。,其他,,0
146,还好吧，平板要好听或者自然或者高敏那么失真就不低，失真要低那就难推难听，这在厂家间早就不是秘密了，只剩烧友还在被割着一些什么se什么v4的韭菜。故障率高品控差更是老生常谈，只能说烧友们早就忍受着这些还要捧平板，那不就是这么回事，别人明白得很，深思啥。,其他,好,1
147,平板单元老化速度很快不知道是不是和结构有关系。,其他,,0
152,hires 一分钟时间就80M了，平均一首歌都300M，这个是假的吧,其他,,0
153,哪里有啊，我也看不到,其他,,0
154,如果是真的那是好事，可是这个真实性需要验证,其他,好,1
155,这三个耳机小编制没一个行的，有点难受,其他,,0
156,前段时间在750上AB了一波800和800s(蹭听的)，感觉交响换了800直接起飞,其他,,0
157,老铁的这个耳放看来是不错啊。ADX5000的外观质感我最喜欢，明显的精工细作，感觉档次很高的。,外形,不错,1
158,听过800还是800s，忘了，反正大编制确实强，但是流行摇滚就不行了，很想听听大乌，哈哈,音质,强,1
159,倒角太大了，看起来胖胖的&#128532;，不过我是觉得耳机系统就应该小小的，可惜我烧已经退得差不多，体温正常了，看看就很开心,其他,差,-1
160,买买买,其他,,0
161,好文支持，看来官放才是归宿，不知道官放的音色怎么样,其他,好,1
162,820古典算是高配了。可惜流行还是得用小不点Y2~Y3,音质,,0
163,udp2是针对600调音的,其他,,0
164,我承认我是被标题骗进来的，扫了一遍，怎么感觉650提到的篇幅少于10%,其他,骗,-1
165,KT好想断货挺严重的，本来已经打算入了，结果没货。不知道声音会不会翻车，现在不太能受得了刺激的声音。,其他,好,1
166,全新6k，值得入么，不知对比d9200如何,其他,,0
167,AWKT不知道会跳水到什么价格，要是能跳到8K多就好了，不过暂时好像不太可能，缺货的厉害,价格,好,1
168,低频流行人声烘托氛围完全够了，摇滚不合适,音质,,0
169,新西装没听过，在5000ANV上是真的甜润，5000ANV这个放我听了七八年了，不得不说这放对付低阻耳机，尤其是铁家木碗真的有一套，之前W1000Z中频靠后，没啥味道，插上5000ANV中频立马补了上来，味道也不错。推我手上的木碗就没翻车过，不知道推AWKT怎么样,音质,不错,1
170,先界面，时钟是高级系统需要的东西了,其他,高级,1
171,加界面前再加一台USB隔离，这个比界面更靠前效果也更明显,其他,,0
172,最近借了个intona，只能说听特定的曲目好了些，听一些其他曲目纯副作用,其他,好,1
173,什么解码,其他,,0
174,PCHIFI不是一般人能玩的来的，像我这种懒人就适合买现成的,其他,,0
175,ep比df更贵,价格,,0
176,学习了,其他,,0
177,想起240DF的外号：耳放试金石。能把240DF推的风生水起那可真是很厉害了,音质,,0
178,十几年前没玩耳机的时候因为没耳放所以短暂的拥有过，推不开就出了。可惜了点，现在买不起了，AKG经典好监听耳机,其他,好,1
179,现在新版的240s是不是不怎样的啊,其他,,0
180,到家翻出吃灰已久的240DF，细细听来还是真是不错。以前觉得不出彩似乎是我的音量开得太保守了。,其他,不错,1
181,其实所有的曲目对耳机只有一个要求，就是低失真，当然，大动态的音乐，如交响曲再增加一个要求，就是耳机动态要大，语言类和人声类一般动态是比较小的。,音质,,0
182,t1三代还是这种精致声场风格？醉了,其他,精致,1
183,只说声场，开放式的t1干不过封闭式的9200，持怀疑态度。,其他,,0
184,T1一代的横向声音都是相对较为窄，但纵深比较好。,其他,好,1
185,现在的T1都是新耳机 等煲一下再评价吧。,其他,,0
186,就D9200那声场无边无际？对此，表示无语。,其他,无语,-1
187,我对T1三代印象也一般...但是不得不说一句LZ这个搭配组合本身太偏向天龙耳机了，对T1三代不是太友好~马兰士配天龙耳机一家亲~,其他,好,1
188,"因为古典动态大, 所以为了高潮的时候不削顶, 其他部分的电平就低一些, 流行歌曲动态小, 整体电平就高了. 下个音频软件, 对比下波形就很明显.",配置,,0
189,T1三代到现在没看到失真瀑布图测量，我很好奇...,其他,好,1
190,我也想把05plus升级到Bal，但是没货啊,其他,,0
191,呀 这位大佬设备看起来有点眼熟,其他,,0
192,建议购买一台mbl 5010c前级，或其他老牌子的前级放大器，耳机口一般插老耳机都有相当水准。音源当然建议传统的cd或lp。,其他,水准,1
193,這麼多款就上個雜食石放,其他,,0
194,加akg老机讨论群,其他,,0
195,不解的是这些最低级器材组合出来的声音并未减少听者获得的愉悦满足感，这种感觉收获甚至要远远大于现在的“高音质”器材产品。,音质,,0
196,我1998年在家里偷钱买了第一幅er4....换来了爸妈的混合双打...我现在都记忆犹新，那耳光扇得pia pia 的！,其他,,0
197,道理很简单，那时候对于新流行文化消费的需求更紧迫。也就是说你更在乎听到什么新的音乐，歌词在说什么故事，凯丽金又出什么新萨克斯磁带，所以能先听到最开心，而用什么设备听没那么紧迫。而且便携磁带机和便携cd机价格差异极大，升级硬件花费很高。,价格,差,-1
198,1990-2000年国外已经有了大奥，omega，r10，显然那时外国人早已觉得垃圾音质影响听歌。,音质,垃圾,-1
199,确实有这个梗，同样的磁带在50、300、600的磁带机上听，听歌的感觉差距不大，但要去听声音的区别，是有的。,其他,差,-1
200,不能脱离时代背景讨论问题。,其他,,0
201,我农村的，弄个复读机原配耳塞买点1-2元的盗版磁带听得很舒服，初中去县城上学，有个同学家庭条件好，当时应该玩的是那种比较好的磁带机+森海px80（可能），当时跟我说几百一套我都惊了。说白了，还是那句话没有对比就没有伤害，不知道自己坐井观天的时候也没啥，一旦了解了，心里就痒了。,配置,好,1
202,中学时候30-50都是巨款了好不？就我上学那会，hd650，dt880这些大耳我还是觉得超级贵的，好几千，还得买耳放，又是一笔大钱。,价格,好,1
203,买了两次qa390的路过帮顶,其他,,0
204,用家帮顶，赞同楼主听感，GL1000C真的是一个让人吃惊的耳机，封闭耳机居然有自然开阔的声场，听古典大编制音乐时有辉煌的堂音，真堪称古典音乐神器，性价比真是。。。。。挺强的，在这个价位内唯一的槽点就是重量了，也想试一试重量轻一些的GL1000了。,价格,强,1
205,楼主辛苦了，现在手持Ｑ７０１本来打算2000价位二手HD700或者HE560，但是看了楼主的文章心动了，不知道GL1000比Ｑ７０１难推不。,其他,,0
206,楼主这毒放得够狠，不知道GL1000的三频均衡度怎么样,音质,,0
207,HIFIMAN水军一点不虚你,其他,,0
208,看来疫情过后可以收一只玩玩,其他,,0
209,封闭式的，声音估计会暖许多，中频有厚度的那种，人声可以试试，ananda相对均衡。风格大部分人更容易接受,音质,,0
210,入了GL1000C，用便携推也相当不错,其他,不错,1
211,先顶贴，在看帖...........,其他,,0
212,到了台原创的胆放，有空去玩玩。,其他,,0
213,这个牌子还活着啊？用过他家A8-2，声音干冷硬，非常难听。,其他,难听,-1
214,流云兄好文，支持下。,其他,好,1
215,玩过一段时间a6t，感觉特色是有的，态度也还诚恳，审美品位审美的相对平庸，但作为国货总体说得过去，只是相比更高级别的a8差距还挺大的。另外到现在还能见到sxt1se还真是不容易，耳罩也保养的挺好的，其实有这使用习惯，用什么器材声音都不会差的，呵呵，帮顶了。,其他,好,1
216,帮顶,其他,,0
217,光纤只会放大相位噪声,其他,,0
218,同意凤凰观点，一般用用界面就很好了。光纤只有理论上的高度，实际效果只有呵呵。,其他,好,1
219,配文青线怎么样,配置,,0
220,太傅乐,其他,,0
221,老实说，这原线也是拖后腿的，太糊了,配置,,0
222,盒子打开看到绒布垫子就知道不是近期版的800s，现在的800s都是海棉垫子了。,外形,,0
223,现在好像都是6.35+4.4了，楼主多少钱拿下的？,其他,好,1
224,最牛的应该是1w5号附近的，XLR-4.4过度时代，XLR 4.4全送,其他,牛,1
225,实践为主,其他,,0
226,现在的人听歌有没有感情都看器材了吗,其他,,0
227,hekv2,其他,,0
228,歌德GS2000E,其他,,0
229,A1000低频确实可以，很有厚度结像也没那么纤细，现在推着800S。NIAO虽然也是低频不错的类型，但是相比之下有些生硬不够柔和，底气也没那么足，动态很夸张有点用力过头的感觉。,音质,不错,1
230,在用niao耳放，很强，单个推t1或HD800没问题，追求极致可以用双niao,其他,强,1
231,基本都是买了安心听音乐的 。 冲新吧，应该不后悔,其他,,0
232,万元内m9还是不错的，买过后来咸鱼出了，嫌弃巨大出了，声底清晰微暖，比gax evo强。,其他,不错,1
233,胆机就容易出底噪，66套算是胆结石吧，估计胆前级出问题的几率也不低,其他,,0
234,有没有试过拔掉usb,其他,,0
235,虽然但是，作为iha6前用户，得说一下，它的“low”的意思是低输出阻抗，是用来接高阻耳机的，而“high”的意思是高输出阻抗（你可以粗浅地理解为相当于串联了一个电阻），用来接低阻高敏的，所以确实是low功率大……,配置,,0
236,买新不买旧，肯定没错，凯音66淘汰吧。我一手买的天窗版都出手很多年了。,其他,,0
237,12要买大师版,其他,,0
238,这个教训告诉我们，千万不要轻易买国产产品。,其他,,0
239,好奇为什么凯音的idac6二代用9028这个芯片（不是唯芯论），都没见其他家有人在用,其他,好,1
240,这种情况先检查家里接地，不清楚就全部上墙或者透明胶带贴插头上断开地线再试试,配置,,0
241,在耐听和细节上取得平衡,其他,,0
242,我感觉用耳机音乐听的是个带入感吧，细节太多有时候并不好听，he1细节也没多爆炸，但是异常的自然，就好比音频中的鸟叫声惊到了戴着耳机的你一样，你可以去找下世纪格雷的dsd1024解码，信息量爆棚，但是有很多信息量不如他的解码却更好听。另外对比音箱来讲，音箱要想做到这种沉浸式听感，你最少需要个单独的听音室，做到隔音和合理布局，起码这一步几万是下不来，另外箱子的低频要想推好了，需要下一定功夫，甚至几个钉子，都能影响效果，当然话不绝对，耳机的应用场景或许更广，只不过耳机到了hd800这个水准提升较为困难。,其他,好,1
243,没有人知道吗？,其他,,0
244,我的macmini改了线电加12v 10a线电，用了roon加hqplayer播放hdd盘里面的音乐，对比万元以内的我玩过的5个数播全部是秒杀，注意是秒杀，但是万元以上我不好说了，因为没听过，而且roon确实方便，手机也可以控制，界面非常赏心悦目。另外，在这里，懂的人不太多。,配置,好,1
245,补图,其他,,0
246,我去，这个配置也是我准备下单的。解码器在这个和DK1000比较中。,其他,,0
247,这个解码多少钱呀,其他,,0
248,支持国货。,其他,,0
250,这款可以和泉2打一架,其他,,0
251,pontus挺不错的，不过预算足的话建议直接终结者，提升很大,其他,不错,1
252,假如是耳房实在得换，也麻烦推荐一个新的，耳房+耳机预算二手不超过1w吧，当然能少点就更好了,其他,好,1
253,大耳的低音只会更好，更震撼，会让你身上每个细胞都跃动起来！不过几百元入耳能让你有战悚感觉，说明你的耳朵太容易满足了！,配置,好,1
254,入耳在不把低频做过量的情况下还能保持低频的力度质感的塞子很少的。而低频量和小四相当的大耳却能把低频做到拳拳到肉，细节丰富，残响自然。,配置,,0
255,东西都是人做的，无论是什么类型的设备，只要他想，都能做得低音很多，用各种手段把高音去掉即可，这个问题没有肯定的答案。,音质,,0
256,箱子的低频让身体震动起来，大耳的低频让脑浆震动起来，塞子的低频让耳膜震动起来,其他,,0
257,站楼,其他,,0
258,耳罩厚的可怕,其他,,0
259,耳放是 V281？,其他,,0
260,700多g？？？？？？鎏金了么？,音质,,0
261,ADAM创始人之一搞的东西……看上去就像把ART气动高音做在耳罩里……,音质,,0
262,老哥 请教下是从thomann海淘的么？大概算下来多少钱，然后多久？,其他,,0
263,以前关注过，但是因为adam系那些气动单元的箱子听起来很闷就觉得声音打问号。这耳机的通透度和细节解析分离能跟hd800s比吗？,其他,,0
264,恭喜哈。。。。601还是值得保有的。。。,其他,,0
265,真是不花一分钱的HIFI [s:2],其他,,0
266,啊，内蒙古的马奶酒~,其他,,0
267,我是来看kk的。。。。真的太好听了。。。。。,其他,好,1
268,口水啊,其他,,0
269,羡慕啊，K601，你值得拥有 [s:5],其他,,0
270,恐龙你有KK 啊 [s:10],其他,,0
271,神器啊 AKG赶快出旗舰啊 对抗HD800 T1 就叫K1001吧,其他,,0
272,在我预算不够搞KK的时候，还是果断不要试听KK了，给机会也不试听。听了以后口水但是又不能入手实在是太苦逼了。,其他,,0
273,[s:10] 草，你又放毒啦，恐龙有KK哦 [s:10] [s:10] [s:10] [s:10],其他,,0
274,哈哈 雷总给的分数少了点吧,其他,,0
275,楼主运气不错,其他,不错,1
276,电源线对声音的影响往往比信号线大，不过在这里讨论线材是在找死～,配置,,0
277,目测一大堆绿檀的高中物理学家正在赶来喷你的路上。,其他,,0
278,器材本来就是靠电发声，线材自然重要,配置,,0
279,内部太素，脑放开不起来。,其他,,0
280,已经在购物车了，看了拆机图，果断不买了。,其他,,0
281,请问楼主，这机器是什么op？,其他,,0
282,老实遥控吧，不方便什么都是假,功能,,0
283,自己顶,其他,,0
284,"我用的是001, 低頻甚至比z5還強, 是溫潤的耳機~ wood加乘效果",其他,,0
285,用过1800 001 002还有一两个更早的型号，都挺不错的,其他,不错,1
286,450克和600克。要不要继续研究先问脖子。,其他,,0
287,脖子让我告别所有400G以上的平板,其他,,0
288,重量很看人的，有些人戴500克舒适，有些人400克受不了,舒适,舒适,1
289,个人感觉还是ananda,其他,,0
290,选轻的，重平板会让你的颈椎痛不欲生,其他,,0
291,有大佬推荐原创5a,其他,,0
292,这颜色不错啊,其他,不错,1
293,铁三角原来的飞翼护垫舒服还是 现在这种舒服？,其他,,0
294,而且电脑的电磁干扰不止会影响电脑内部传输线路，如果离得近的话应该还会直接影响解码器和耳放吧。为什么直接就单单只关注usb呢,配置,,0
295,国货也有好的，国外也照样有代工贴牌的垃圾货。没啥好说的，但是很多看起来很火的东西并不就一定好。比如某男人,其他,好,1
296,换成monilith M1070甚至是乌克兰的DIY VERUM都不会有人黑,其他,,0
297,吹的少自然黑的少，国外国货一样没黑的,其他,,0
299,就问大哥买不买,其他,,0
300,国产文案都好，所以期望值高,其他,好,1
301,确实应该降低标准  毕竟自研的芯片还没有,其他,,0
302,如捧只铁碗和陶瓷碗吃饭的区别,其他,,0
303,纸上得来终觉浅 绝知此事要躬行,其他,,0
304,5楼说的很详尽准确了。,其他,,0
305,平板应该是强于动圈。只是习惯了动圈的耳朵能否接受不一样的声音。,配置,强,1
306,平板低音不太好，有量没质，下潜不够深，另外低音比较混和糊，缺乏对低音的精确描绘。,音质,好,1
307,速度，力量感都差  强在柔顺！,其他,强,1
308,都会发热,其他,,0
309,怎么说呢，我这边同一个线，不同人做，差异是俩个不同线的区别。这边几个老烧自己听了说的。所以有些线材是调音，有些是真的全面超越，尤其是一部分的高价线。注意一部分，线材市场水分太多，鱼龙混杂。,配置,差,-1
310,很好的帖子,其他,好,1
311,非常有调理的分析，想必也是懂的欣赏音乐的玩家,其他,,0
312,还有一点，器材为先，你器材没搭配对，靠线材调音的思想，其实是错误的，拆东墙补西墙而已，上面说过的某些线我也听过，有些真的是调音线，而不是真的素质好的线，这种线很贵，自己领悟去。我始终觉得器材好了，再去搭配好的线材。提升是很大的，实际也是这样。,配置,好,1
313,看展会商家用什么普通线中端线就照着弄,配置,,0
314, 可惜，美国兰迪基金会的悬赏已经取消，要不然你老婆就能名利双收了。,音质,,0
315,请问楼主，甲乙两条纯铜线，甲线如你描述：高频延伸度很好达到20KHz、对空间感中的细节还原很好······等等，现在以您的资历可否解释一下甲线是凭什么（物理的？化学的？结构工艺的？）达到这个状态，而乙线却不能？,配置,好,1
316,一般建议买那种用的人多，二手还少的线，至少证明有一定水平。,配置,,0
317,强文，实实在在的烧友一个。  不懂线的喷子就是义和团众，他们已经在来的路上了。,配置,强,1
318,音乐心理学,其他,,0
319,niuniu 肉肉 屁屁 痘痘,其他,,0
320,广东烧友多交流，长三角的烧友一般闭门偷着乐。,其他,,0
321,因为玩HⅰFⅰ最初是从香港传到广东的,其他,,0
322,靠hongkong近，hifi氛围最先就是香港带起来的,其他,,0
323,近年是江浙沪比较多,其他,,0
324,上海服不服,其他,,0
325,主要是电子零件和加工都很成熟，,配置,,0
326,另外提一下，MR2目前还有200台左右可预订哦~,其他,,0
327,这个消息在耳塞区也发一下关注的人会更多的吧？,配置,,0
328,私以为，跟pc越像，越容易同质化，越同质化，越没有竞争力。便携式产品还是要走简单，好声，价格不贵的路线。这是我个人想法，不同意的可以当我没说,配置,好,1
329,轻便、 不占地、操作方便、适应性好，声音不拖后腿，我觉得足够了,功能,好,1
330,支持支持~,其他,,0
331,这性价比太猛了，让其他厂家的低价位耳放怎么办,价格,,0
332,每次看到这家我就要吐槽他们的产品命名，我是真搞不懂什么can、nano、phono是什么规律,其他,,0
333,插充电宝能不能带着跑？,配置,,0
334,趁着双十一已经撸了zen两件套了，之前听过hip dac 千元小解码耳放的声音都已经喜出望外了，zen系列闭着眼睛买就是了。还撸了个ipower，咨询了行家说ipower跟充电宝+诱骗线，这两个方案的声音差不多，等ipower到了试试看。idefender和isilencer价格有点小贵，有酱油贵过鸡的感觉，就先放一放吧，等下次618了再考虑。,配置,差,-1
335,问了客服，说是zen系列可以使用5v、9v电源，就买9v的ipower了，因为家里还有个转盘是9v可以兼容使用。反正万一烧鸡了，客服也说了可以保。,配置,,0
336,值回票价,其他,,0
337,我看m040导向孔是向下的，对环境容忍度应该不错,其他,不错,1
338,没对比过 M040凑合,其他,,0
339,可以考虑加点ME 的箱子。中频包你满意，还是少女编号里的特大号手办,其他,,0
340,我正在出eve sc305性价比很高，可以关注一下。,价格,,0
341,真力不错,其他,不错,1
342,建议我装备栏的这一套，综合表现超越040，低音管理比想象中的简单,音质,,0
343,真力不错,其他,不错,1
344,最近也想入有源监听，想在PreSonus Sceptre S8 krk v8 m040 8040b中选，对PreSonus Sceptre S8感兴趣，求推荐。,其他,,0
345,这些箱子按照预算入即可，没什么区别,其他,,0
346,纠结M040和KH120中，准备考虑入手120了,其他,,0
347,大奥啊,其他,,0
348,价格无所谓，那选最贵的一定没错,价格,,0
349,人声电影hd650就不错阿,配置,不错,1
350,我只想说  如果有人告诉你HD598   你连一个标点符号也不要信...,其他,,0
